Classifier,Month,Year,DATE_YEAR,DATE_ID,STOCK
Rice: Total Stock,2,2016,201602,194,2942.84
Rice: Total Stock,3,2016,201603,195,2674.17
Rice: Total Stock,4,2016,201604,196,3359.01
Rice: Total Stock,5,2016,201605,197,3689.41
Rice: Total Stock,6,2016,201606,198,3235.29
Rice: Total Stock,7,2016,201607,199,2733.64
Rice: Total Stock,8,2016,201608,200,2103.16
Rice: Total Stock,9,2016,201609,201,1775.76
Rice: Total Stock,10,2016,201610,202,2286.57
Rice: Total Stock,11,2016,201611,203,3302.33
Rice: Total Stock,12,2016,201612,204,3338.98
Rice: Total Stock,1,2017,201701,205,2765.12
Rice: Total Stock,2,2017,201702,206,2296.32
Rice: Total Stock,3,2017,201703,207,2176.2
Rice: Total Stock,4,2017,201704,208,2675.55
Rice: Total Stock,5,2017,201705,209,3214.18
Rice: Total Stock,6,2017,201706,210,2572.94
Rice: Total Stock,7,2017,201707,211,2347.9
Rice: Total Stock,8,2017,201708,212,2028
Rice: Total Stock,9,2017,201709,213,1422.84
Rice: Total Stock,10,2017,201710,214,1935.87
Rice: Total Stock,11,2017,201711,215,2958.73
Rice: Total Stock,12,2017,201712,216,2849.37
Rice: Total Stock,1,2018,201801,217,2289.65
Rice: Total Stock,2,2018,201802,218,1795.78
Rice: Total Stock,3,2018,201803,219,1697.37
Rice: Total Stock,4,2018,201804,220,2182.67
Rice: Total Stock,5,2018,201805,221,2909.46
Rice: Total Stock,6,2018,201806,222,2360.98
Rice: Total Stock,7,2018,201807,223,1990.82
Rice: Total Stock,8,2018,201808,224,1520.76
Rice: Total Stock,9,2018,201809,225,1168.03
Rice: Total Stock,10,2018,201810,226,1589.89
Rice: Total Stock,11,2018,201811,227,3000.45
Rice: Total Stock,12,2018,201812,228,2718.48
Rice: Total Stock,1,2019,201901,229,2550.7
Rice: Total Stock,2,2019,201902,230,2141.23
Rice: Total Stock,3,2019,201903,231,2221.42
Rice: Total Stock,4,2019,201904,232,2629.03
Rice: Total Stock,5,2019,201905,233,2947.42
Rice: Total Stock,6,2019,201906,234,2598.34
Rice: Total Stock,7,2019,201907,235,2625.25
Rice: Total Stock,8,2019,201908,236,2133.84
Rice: Total Stock,9,2019,201909,237,1842.37
Rice: Total Stock,10,2019,201910,238,2279.73
Rice: Total Stock,11,2019,201911,239,2962.46
Rice: Total Stock,12,2019,201912,240,3098.01
Rice: Total Stock,1,2020,202001,241,2675.04
Rice: Total Stock,2,2020,202002,242,2375.5
Rice: Total Stock,3,2020,202003,243,2178.64
Rice: Total Stock,4,2020,202004,244,2367.87
Rice: Total Stock,5,2020,202005,245,2779.03
Rice: Total Stock,6,2020,202006,246,2395.94
Rice: Total Stock,7,2020,202007,247,2104.76
Rice: Total Stock,8,2020,202008,248,1786.25
Rice: Total Stock,9,2020,202009,249,1784.82
Rice: Total Stock,10,2020,202010,250,2641.08
Rice: Total Stock,11,2020,202011,251,3158.54
Rice: Total Stock,12,2020,202012,252,2766.4
Rice: Total Stock,1,2021,202101,253,2332
Rice: Total Stock,2,2021,202102,254,2193.1
Rice: Total Stock,3,2021,202103,255,2080.1
Rice: Total Stock,4,2021,202104,256,2444.31
Rice: Total Stock,5,2021,202105,257,2584.9
Rice: Total Stock,6,2021,202106,258,2530.82
Rice: Total Stock,7,2021,202107,259,2177.68
Rice: Total Stock,8,2021,202108,260,1578.31
Rice: Total Stock,9,2021,202109,261,1332.36
Rice: Total Stock,10,2021,202110,262,1954.72
Rice: Total Stock,11,2021,202111,263,2418.43
Rice: Total Stock,12,2021,202112,264,2377.85
Rice: Total Stock,1,2022,202201,265,1859.45
Rice: Total Stock,2,2022,202202,266,1609.25
Rice: Total Stock,3,2022,202203,267,1632.51
Rice: Total Stock,4,2022,202204,268,2506.13
Rice: Total Stock,5,2022,202205,269,2279.96
Rice: Total Stock,6,2022,202206,270,2090.62
Rice: Total Stock,7,2022,202207,271,2034.57
Rice: Total Stock,8,2022,202208,272,1633.36
Rice: Total Stock,9,2022,202209,273,1450.89
Rice: Total Stock,10,2022,202210,274,2081.84
Rice: Total Stock,11,2022,202211,275,2649.81
Rice: Total Stock,12,2022,202212,276,2534.59
Rice: Total Stock,1,2023,202301,277,1850.45
Rice: Total Stock,2,2023,202302,278,1523.03
Rice: Total Stock,3,2023,202303,279,1408.85
Rice: Total Stock,4,2023,202304,280,1843.05
Rice: Total Stock,5,2023,202305,281,1882.06
Rice: Total Stock,6,2023,202306,282,1818.21
Rice: Total Stock,7,2023,202307,283,1804.17
Rice: Total Stock,8,2023,202308,284,1632.45
Rice: Total Stock,9,2023,202309,285,1546.09
Rice: Total Stock,10,2023,202310,286,1859.14
Rice: Total Stock,11,2023,202311,287,1978.56
Rice: Total Stock,12,2023,202312,288,1895.78
Rice: Total Stock,1,2024,202401,289,2027.18
Rice: Total Stock,2,2024,202402,290,1510.98
